ID,type,case,year,datum,utm_zone,x,y,w_up,SageHgtSD,Bare,Herb,Sage,Shrub,Rough200m,FenceDist,PowerDist
98,0,FALSE,2017,NAD83,13,379475.1901,4917026.46,1000,11.534585,37.74894714,30.04877281,11.48114014,13.72660255,207.9854736,340.8085522,1531.670983
99,0,FALSE,2017,NAD83,13,393943.5292,4904051.457,1000,11.40402317,42.23110962,26.64496613,11.13187408,13.00011635,153.3266754,267.1706925,4975.85331
100,0,FALSE,2017,NAD83,13,390384.3538,4921269.207,1000,17.00649261,45.04949951,27.56375885,9.753940582,11.40637016,207.3426514,76.62960955,3972.732604
142,0,FALSE,2017,NAD83,13,390410.8334,4910832.123,1000,16.60066032,56.89573669,22.42361259,7.094445229,8.582058907,268.0665588,1243.054428,6859.119615
143,0,FALSE,2017,NAD83,13,383611.4308,4921750.561,1000,3.295553923,18.10741615,54.97594452,5.291544437,8.073519707,169.7095795,69.86282274,12072.90445
144,0,FALSE,2017,NAD83,13,398633.371,4910230.979,1000,9.514294624,33.13465881,26.69941902,15.8954792,18.78724861,105.1639709,114.5467844,3749.611179
145,0,FALSE,2017,NAD83,13,385656.2913,4924496.11,1000,5.051346779,18.11002922,42.03139114,14.06300259,16.84579086,133.9889679,257.9332513,18922.20239
146,0,FALSE,2017,NAD83,13,388838.5208,4916059.722,1000,15.9693985,52.82741165,24.15685463,8.11170578,9.596165657,102.9646759,329.9765622,1992.371812
147,0,FALSE,2017,NAD83,13,398488.1956,4908548.124,1000,12.5215435,46.05480194,24.56320572,11.83260536,13.38287544,156.2672119,266.8492178,1245.040656
148,0,FALSE,2017,NAD83,13,387172.2471,4916233.205,1000,14.59475136,50.83427429,25.03786278,8.701686859,10.5614109,159.7763367,364.4764622,4876.569993
149,0,FALSE,2017,NAD83,13,392004.7957,4926868.938,1000,9.02395153,27.88642693,33.60992813,14.76267147,18.24653625,356.3881226,226.6318993,4026.638083
