"lekid","x","y","man_area","per_miss","per_zero","mean_count","sd_count","min_count","max_count","mean_rugg","length_road","count_OG","mean_ppt","sd_ppt","mean_sb","sd_sb","mean_herb","sd_herb","mean_nest","sd_nest"
"E-Long Creek No. 3",-978350.084404331,2247223.4589648," E",0,65.625,3.15625,6.02205288649493,0,26,0.004796,125466.4698,0,21.866666,1.777638,15.506556,4.21741,16.859857,5.830805,0.524295,0.158563
"E-Long Creek No. 4",-980810.654584151,2247259.02737222," E",0,93.75,1.65625,7.74850401794624,0,43,0.002948,129082.4915,3,23.833333,1.600347,16.228008,3.776153,16.471099,5.208422,0.586901,0.10961
"E-Long Gulch",-1035828.28158582,2226429.51846819," E",65.625,68.75,66,46.7568176846971,0,162,0.002431,125104.587,0,23.693181,0.485188,14.103749,3.01039,8.537477,3.968767,0.397422,0.143785
"E-McIntosh Meadows",-939759.171199124,2240579.80103239," E",0,56.25,4.25,9.35672950858227,0,41,0.004119,141330.507,0,19.827957,0.665972,10.748329,4.112375,11.37962,5.139486,0.169685,0.098846
"E-Nancy Creek",-971671.367971425,2222967.05400571," E",59.375,62.5,34.4615384615385,23.8977522813876,0,67,0.003914,213438.7552,7,18.033332,0.34801,6.827124,3.343398,9.576604,3.579681,0.078398,0.036437
"E-Nancy Creek Reservoir",-970608.096912683,2224880.88799739," E",68.75,68.75,37.5,20.1232314612849,13,73,0.001927,176565.9506,0,17.709676,0.477012,5.774834,2.905893,11.03786,5.843405,0.057953,0.039435
"E-North Dobie",-929373.690374593,2233620.05002697," E",0,31.25,20.15625,19.3825817631824,0,70,0.0062,104382.112,0,21,0,7.275785,3.150325,11.671863,6.012097,0.062619,0.031515
"E-Oregon Trail",-1035149.90417982,2219405.70204603," E",21.875,40.625,44.28,48.7292861976587,0,173,0.002351,95307.83543,0,23.32258,0.467463,12.410365,4.618721,11.939058,4.467621,0.350242,0.128862
"E-Picket Lake",-1017135.30841743,2211713.69626629," E",28.125,28.125,58.3913043478261,35.9086456168918,7,132,0.001794,53305.61816,0,21.636363,0.481045,11.240938,3.54286,10.420585,3.649659,0.298115,0.071355
"E-Pine Creek",-1042732.03653816,2227265.28095818," E",31.25,34.375,30.7727272727273,19.4445042258409,0,71,0.003188,120695.0003,0,24.177778,0.461345,15.168925,2.515014,10.141089,4.400839,0.420615,0.124857
